,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_27~lig_39,-2.3133,0.4479,-1.0023,0.0885
lig_33~lig_34,2.1492,0.7977,-0.447,0.0559
lig_32~lig_34,-0.6107,0.4073,-2.0824,0.0577
lig_33~lig_67,-1.9716,0.772,-2.07,0.494
lig_33~lig_37,-0.8913,0.8067,-0.5142,0.0504
lig_27~lig_32,-0.3209,0.5282,-0.5612,0.1239
lig_27~lig_33,-1.3994,0.1974,-1.108,0.0557
lig_37~lig_50,-1.0074,0.1784,0.1384,0.2435
lig_37~lig_56,-1.1572,0.6464,-0.2926,0.0947
lig_53~lig_58,-2.0649,0.4809,-1.0094,0.0603
lig_56~lig_58,-2.3484,0.2067,-2.0654,0.023
lig_60~lig_61,-0.2082,0.2845,1.0334,0.0939
lig_60~lig_63,-2.2148,0.2696,-1.2946,0.0335
lig_60~lig_65,-1.9226,0.0622,-1.1798,0.0553
lig_50~lig_61,-1.4521,1.6127,-1.0787,0.1784
lig_53~lig_63,-1.8219,0.2089,-0.688,0.0669
lig_32~lig_37,-0.4569,0.5457,-1.4644,0.083
lig_32~lig_39,0.2616,0.8529,-1.1771,0.0443
lig_37~lig_65,-3.3734,0.7618,-1.4206,0.1036
lig_60~lig_67,-3.5444,0.0818,-0.8251,0.1772
lig_53~lig_67,-1.1472,0.1811,0.6872,0.1289
lig_34~lig_37,-1.5598,0.6558,-0.7505,0.0447
lig_53~lig_56,1.6049,0.6064,1.5437,0.0416
lig_50~lig_58,-2.038,0.7822,-2.6927,0.4907
lig_33~lig_53,-2.5684,0.5122,-2.3445,0.0494
lig_37~lig_53,-2.7161,0.2174,-2.2009,0.0178
lig_50~lig_53,-2.3732,1.666,-1.8447,0.1174
lig_63~lig_65,1.6555,1.3756,0.5386,0.037
lig_33~lig_39,-0.4672,1.0854,0.0316,0.1703
lig_27~lig_65,-0.8767,1.2658,-3.5453,0.1034
lig_27~lig_61,0.6064,0.8874,-1.808,0.0671
lig_27~lig_60,-1.5932,1.1296,-1.849,0.0824
lig_27~lig_34,0.385,0.8125,-1.7697,0.047
lig_27~lig_67,-4.1547,0.5476,-2.3302,0.0661
lig_27~lig_50,-2.3426,0.5145,-1.7945,0.0526
lig_27~lig_63,-3.1685,0.8878,-4.0618,0.0924
lig_27~lig_56,-2.4341,0.6843,-2.1945,0.0636
lig_37~lig_61,3.2534,0.9475,-0.1833,0.0744
lig_34~lig_53,-4.6607,0.6554,-4.1403,0.0515
lig_33~lig_50,-0.4999,0.247,-1.007,0.0364
lig_32~lig_33,-2.8796,0.3546,-0.6496,0.0559
lig_61~lig_67,-4.1403,0.5074,-0.8283,0.0385
lig_27~lig_58,-5.4693,0.4591,-4.8626,0.1718
lig_27~lig_37,-2.3015,0.5626,-1.0568,0.1343
lig_61~lig_65,-4.2222,1.6201,-2.2233,0.0526
lig_50~lig_56,0.2993,1.2622,-0.7485,0.0701
lig_37~lig_63,-4.0276,1.123,-3.6881,0.071
lig_34~lig_39,-0.1622,0.2747,-0.0293,0.1359
lig_56~lig_60,-0.1064,1.1674,-1.1297,0.0446
