,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_53~lig_67,1.2761,0.1495,0.6872,0.1289
lig_60~lig_67,0.1244,0.1979,-0.8251,0.1772
lig_33~lig_34,-0.7107,0.2618,-0.447,0.0559
lig_34~lig_37,-1.0751,0.1471,-0.7505,0.0447
lig_53~lig_56,1.5382,0.123,1.5437,0.0416
lig_50~lig_58,-2.8165,0.1317,-2.6927,0.4907
lig_60~lig_65,-1.7399,0.0348,-1.1798,0.0553
lig_33~lig_53,-4.2612,0.2297,-2.3445,0.0494
lig_37~lig_53,-2.4554,0.0623,-2.2009,0.0178
lig_56~lig_58,-2.1527,0.1269,-2.0654,0.023
lig_60~lig_61,1.231,0.1374,1.0334,0.0939
lig_27~lig_39,-2.8241,0.325,-1.0023,0.0885
lig_50~lig_53,-2.2768,0.211,-1.8447,0.1174
lig_63~lig_65,0.5134,0.1028,0.5386,0.037
lig_33~lig_39,-0.9461,0.2788,0.0316,0.1703
lig_32~lig_37,-2.5553,0.0904,-1.4644,0.083
lig_27~lig_32,-0.3328,0.0615,-0.5612,0.1239
