,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_27~lig_39,-2.8241,0.325,-2.8241,0.325
lig_33~lig_34,-0.7107,0.2618,-0.7107,0.2618
lig_32~lig_34,-1.0035,0.0973,-1.0035,0.0973
lig_33~lig_67,-1.7651,0.2593,-1.7651,0.2593
lig_33~lig_37,-1.3446,0.1422,-1.3446,0.1422
lig_65~lig_67,1.9573,0.1528,1.9573,0.1528
lig_27~lig_32,-0.3328,0.0615,-0.3328,0.0615
lig_27~lig_33,-1.0982,0.0627,-1.0982,0.0627
lig_37~lig_50,0.6453,0.2093,0.6453,0.2093
lig_37~lig_56,-0.5551,0.0798,-0.5551,0.0798
lig_53~lig_58,-0.6909,0.0485,-0.6909,0.0485
lig_56~lig_58,-2.1527,0.1269,-2.1527,0.1269
lig_60~lig_61,1.231,0.1374,1.231,0.1374
lig_60~lig_63,-1.7355,0.0799,-1.7355,0.0799
lig_60~lig_65,-1.7399,0.0348,-1.7399,0.0348
lig_50~lig_61,-1.0087,0.042,-1.0087,0.042
lig_53~lig_63,-0.8809,0.0499,-0.8809,0.0499
lig_32~lig_37,-2.5553,0.0904,-2.5553,0.0904
lig_32~lig_39,-2.5099,0.1296,-2.5099,0.1296
lig_37~lig_65,-3.379,0.0908,-3.379,0.0908
lig_37~lig_67,-1.7782,0.1833,-1.7782,0.1833
lig_60~lig_67,0.1244,0.1979,0.1244,0.1979
lig_53~lig_67,1.2761,0.1495,1.2761,0.1495
lig_39~lig_67,-1.8689,0.7006,-1.8689,0.7006
lig_34~lig_37,-1.0751,0.1471,-1.0751,0.1471
lig_53~lig_56,1.5382,0.123,1.5382,0.123
lig_50~lig_58,-2.8165,0.1317,-2.8165,0.1317
lig_33~lig_53,-4.2612,0.2297,-4.2612,0.2297
lig_37~lig_53,-2.4554,0.0623,-2.4554,0.0623
lig_50~lig_53,-2.2768,0.211,-2.2768,0.211
lig_61~lig_63,-2.7346,0.2703,-2.7346,0.2703
lig_63~lig_65,0.5134,0.1028,0.5134,0.1028
lig_33~lig_39,-0.9461,0.2788,-0.9461,0.2788
lig_27~lig_65,-5.6991,0.1274,-5.6991,0.1274
lig_27~lig_61,-2.1307,0.1865,-2.1307,0.1865
lig_27~lig_60,-3.8147,0.3105,-3.8147,0.3105
lig_27~lig_34,-2.7607,0.3327,-2.7607,0.3327
lig_27~lig_67,-2.8154,0.1782,-2.8154,0.1782
lig_27~lig_50,-1.9839,0.2625,-1.9839,0.2625
lig_27~lig_63,-6.5488,0.1657,-6.5488,0.1657
lig_27~lig_56,-2.325,0.2642,-2.325,0.2642
lig_37~lig_61,-0.3456,0.1482,-0.3456,0.1482
lig_34~lig_53,-3.5365,0.2001,-3.5365,0.2001
lig_33~lig_50,-0.9366,0.1807,-0.9366,0.1807
lig_32~lig_33,-0.844,0.0778,-0.844,0.0778
lig_61~lig_67,-1.0313,0.1367,-1.0313,0.1367
lig_27~lig_58,-5.0867,0.1238,-5.0867,0.1238
lig_27~lig_37,-3.0697,0.2116,-3.0697,0.2116
lig_61~lig_65,-3.0198,0.1169,-3.0198,0.1169
lig_50~lig_56,-0.616,0.2962,-0.616,0.2962
lig_37~lig_63,-3.2057,0.1725,-3.2057,0.1725
lig_34~lig_39,0.0715,0.0709,0.0715,0.0709
lig_56~lig_60,-0.8583,0.0344,-0.8583,0.0344
