,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_34~lig_53,-3.5365,0.2001,-4.6607,0.6554
lig_37~lig_65,-3.379,0.0908,-3.3734,0.7618
lig_33~lig_50,-0.9366,0.1807,-0.4999,0.247
lig_32~lig_37,-2.5553,0.0904,-0.4569,0.5457
lig_60~lig_61,1.231,0.1374,-0.2082,0.2845
lig_32~lig_33,-0.844,0.0778,-2.8796,0.3546
lig_53~lig_58,-0.6909,0.0485,-2.0649,0.4809
lig_65~lig_67,1.9573,0.1528,-1.0034,0.509
lig_27~lig_39,-2.8241,0.325,-2.3133,0.4479
lig_27~lig_34,-2.7607,0.3327,0.385,0.8125
lig_50~lig_61,-1.0087,0.042,-1.4521,1.6127
lig_60~lig_67,0.1244,0.1979,-3.5444,0.0818
lig_27~lig_33,-1.0982,0.0627,-1.3994,0.1974
lig_37~lig_56,-0.5551,0.0798,-1.1572,0.6464
lig_60~lig_63,-1.7355,0.0799,-2.2148,0.2696
lig_56~lig_58,-2.1527,0.1269,-2.3484,0.2067
lig_53~lig_63,-0.8809,0.0499,-1.8219,0.2089
