,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_34~lig_53,-4.6607,0.6554,-4.6607,0.6554
lig_37~lig_65,-3.3734,0.7618,-3.3734,0.7618
lig_33~lig_50,-0.4999,0.247,-0.4999,0.247
lig_32~lig_37,-0.4569,0.5457,-0.4569,0.5457
lig_60~lig_61,-0.2082,0.2845,-0.2082,0.2845
lig_32~lig_33,-2.8796,0.3546,-2.8796,0.3546
lig_53~lig_58,-2.0649,0.4809,-2.0649,0.4809
lig_65~lig_67,-1.0034,0.509,-1.0034,0.509
lig_27~lig_39,-2.3133,0.4479,-2.3133,0.4479
lig_27~lig_34,0.385,0.8125,0.385,0.8125
lig_50~lig_61,-1.4521,1.6127,-1.4521,1.6127
lig_60~lig_67,-3.5444,0.0818,-3.5444,0.0818
lig_27~lig_33,-1.3994,0.1974,-1.3994,0.1974
lig_37~lig_56,-1.1572,0.6464,-1.1572,0.6464
lig_60~lig_63,-2.2148,0.2696,-2.2148,0.2696
lig_56~lig_58,-2.3484,0.2067,-2.3484,0.2067
lig_53~lig_63,-1.8219,0.2089,-1.8219,0.2089
