,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_27~lig_33,-1.3994,0.1974,-1.0982,0.0627
lig_27~lig_39,-2.3133,0.4479,-2.8241,0.325
lig_32~lig_34,-0.6107,0.4073,-1.0035,0.0973
lig_32~lig_37,-0.4569,0.5457,-2.5553,0.0904
lig_32~lig_39,0.2616,0.8529,-2.5099,0.1296
lig_33~lig_34,2.1492,0.7977,-0.7107,0.2618
lig_33~lig_37,-0.8913,0.8067,-1.3446,0.1422
lig_37~lig_50,-1.0074,0.1784,0.6453,0.2093
lig_37~lig_56,-1.1572,0.6464,-0.5551,0.0798
lig_37~lig_65,-3.3734,0.7618,-3.379,0.0908
lig_37~lig_67,-2.2664,0.4304,-1.7782,0.1833
lig_50~lig_61,-1.4521,1.6127,-1.0087,0.042
lig_53~lig_58,-2.0649,0.4809,-0.6909,0.0485
lig_53~lig_63,-1.8219,0.2089,-0.8809,0.0499
lig_56~lig_58,-2.3484,0.2067,-2.1527,0.1269
lig_60~lig_61,-0.2082,0.2845,1.231,0.1374
lig_60~lig_63,-2.2148,0.2696,-1.7355,0.0799
lig_60~lig_65,-1.9226,0.0622,-1.7399,0.0348
lig_60~lig_67,-3.5444,0.0818,0.1244,0.1979
