,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_37~lig_65,-3.379,0.0908,-3.379,0.0908
lig_27~lig_65,-5.6991,0.1274,-5.6991,0.1274
lig_27~lig_61,-2.1307,0.1865,-2.1307,0.1865
lig_53~lig_58,-0.6909,0.0485,-0.6909,0.0485
lig_27~lig_60,-3.8147,0.3105,-3.8147,0.3105
lig_27~lig_39,-2.8241,0.325,-2.8241,0.325
lig_27~lig_34,-2.7607,0.3327,-2.7607,0.3327
lig_27~lig_33,-1.0982,0.0627,-1.0982,0.0627
lig_27~lig_67,-2.8154,0.1782,-2.8154,0.1782
lig_27~lig_50,-1.9839,0.2625,-1.9839,0.2625
lig_27~lig_63,-6.5488,0.1657,-6.5488,0.1657
lig_27~lig_32,-0.3328,0.0615,-0.3328,0.0615
lig_53~lig_63,-0.8809,0.0499,-0.8809,0.0499
lig_37~lig_53,-2.4554,0.0623,-2.4554,0.0623
lig_27~lig_56,-2.325,0.2642,-2.325,0.2642
lig_37~lig_61,-0.3456,0.1482,-0.3456,0.1482
lig_56~lig_58,-2.1527,0.1269,-2.1527,0.1269
