,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_61~lig_67,-1.0313,0.1367,-0.8283,0.0385
lig_27~lig_60,-3.8147,0.3105,-1.849,0.0824
lig_33~lig_53,-4.2612,0.2297,-2.3445,0.0494
lig_27~lig_32,-0.3328,0.0615,-0.5612,0.1239
lig_27~lig_58,-5.0867,0.1238,-4.8626,0.1718
lig_27~lig_33,-1.0982,0.0627,-1.108,0.0557
lig_27~lig_34,-2.7607,0.3327,-1.7697,0.047
lig_27~lig_37,-3.0697,0.2116,-1.0568,0.1343
lig_27~lig_39,-2.8241,0.325,-1.0023,0.0885
lig_61~lig_65,-3.0198,0.1169,-2.2233,0.0526
lig_37~lig_56,-0.5551,0.0798,-0.2926,0.0947
lig_50~lig_56,-0.616,0.2962,-0.7485,0.0701
lig_60~lig_61,1.231,0.1374,1.0334,0.0939
lig_37~lig_63,-3.2057,0.1725,-3.6881,0.071
lig_53~lig_67,1.2761,0.1495,0.6872,0.1289
lig_27~lig_65,-5.6991,0.1274,-3.5453,0.1034
lig_50~lig_53,-2.2768,0.211,-1.8447,0.1174
lig_50~lig_58,-2.8165,0.1317,-2.6927,0.4907
