,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_61~lig_67,-4.1403,0.5074,-1.0313,0.1367
lig_39~lig_67,-3.4025,0.8134,-1.8689,0.7006
lig_27~lig_60,-1.5932,1.1296,-3.8147,0.3105
lig_33~lig_53,-2.5684,0.5122,-4.2612,0.2297
lig_27~lig_32,-0.3209,0.5282,-0.3328,0.0615
lig_27~lig_58,-5.4693,0.4591,-5.0867,0.1238
lig_27~lig_33,-1.3994,0.1974,-1.0982,0.0627
lig_27~lig_34,0.385,0.8125,-2.7607,0.3327
lig_27~lig_37,-2.3015,0.5626,-3.0697,0.2116
lig_61~lig_63,-4.3983,0.9897,-2.7346,0.2703
lig_27~lig_39,-2.3133,0.4479,-2.8241,0.325
lig_61~lig_65,-4.2222,1.6201,-3.0198,0.1169
lig_37~lig_56,-1.1572,0.6464,-0.5551,0.0798
lig_50~lig_56,0.2993,1.2622,-0.616,0.2962
lig_60~lig_61,-0.2082,0.2845,1.231,0.1374
lig_37~lig_63,-4.0276,1.123,-3.2057,0.1725
lig_53~lig_67,-1.1472,0.1811,1.2761,0.1495
lig_27~lig_65,-0.8767,1.2658,-5.6991,0.1274
lig_50~lig_53,-2.3732,1.666,-2.2768,0.211
lig_50~lig_58,-2.038,0.7822,-2.8165,0.1317
