,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_37~lig_65,-1.4206,0.1036,-3.379,0.0908
lig_27~lig_65,-3.5453,0.1034,-5.6991,0.1274
lig_27~lig_61,-1.808,0.0671,-2.1307,0.1865
lig_53~lig_58,-1.0094,0.0603,-0.6909,0.0485
lig_27~lig_60,-1.849,0.0824,-3.8147,0.3105
lig_27~lig_39,-1.0023,0.0885,-2.8241,0.325
lig_27~lig_34,-1.7697,0.047,-2.7607,0.3327
lig_27~lig_33,-1.108,0.0557,-1.0982,0.0627
lig_27~lig_67,-2.3302,0.0661,-2.8154,0.1782
lig_27~lig_50,-1.7945,0.0526,-1.9839,0.2625
lig_27~lig_63,-4.0618,0.0924,-6.5488,0.1657
lig_27~lig_32,-0.5612,0.1239,-0.3328,0.0615
lig_53~lig_63,-0.688,0.0669,-0.8809,0.0499
lig_37~lig_53,-2.2009,0.0178,-2.4554,0.0623
lig_27~lig_56,-2.1945,0.0636,-2.325,0.2642
lig_37~lig_61,-0.1833,0.0744,-0.3456,0.1482
lig_56~lig_58,-2.0654,0.023,-2.1527,0.1269
