,freenrg_experimental,err_experimental,freenrg_calc,err_calc
lig_34~lig_53,-3.0958397906510733,0.27422548670425445,-4.1403,0.0515
lig_37~lig_65,0.5462570533499651,0.35390093805455275,-1.4206,0.1036
lig_33~lig_50,-2.4531821056738172,0.23094435349690773,-1.007,0.0364
lig_32~lig_37,-2.370672000057911,0.3196775882676304,-1.4644,0.083
lig_60~lig_61,0.835698013082073,0.23919113990605265,1.0334,0.0939
lig_32~lig_33,-0.2922420358839801,0.21086481647118144,-0.6496,0.0559
lig_53~lig_58,0.5569989886105464,0.19970021688704748,-1.0094,0.0603
lig_27~lig_39,-0.9104573923536252,0.1328174542336723,-1.0023,0.0885
lig_27~lig_34,-0.7528403928672365,0.22750420073920988,-1.7697,0.047
lig_50~lig_61,1.2489255217965383,0.2812087122182192,-1.0787,0.1784
lig_60~lig_67,1.3342367035643194,0.027239244925782086,-0.8251,0.1772
lig_27~lig_33,-0.7588928436097051,0.21388709763064065,-1.108,0.0557
lig_37~lig_56,-0.30453445648557853,0.2999149984967986,-0.2926,0.0947
lig_60~lig_63,-0.14716841944346726,0.09718811692331902,-1.2946,0.0335
lig_56~lig_58,-0.14982393063854893,0.05394670143602067,-2.0654,0.023
lig_53~lig_63,0.9026643235057854,0.2171757832124157,-0.688,0.0669
lig_67~lig_65,-0.8264550174289331,0.19180381855063072,-0.8569,0.1267
