,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_27~lig_33,-1.108,0.0557,-1.108,0.0557
lig_27~lig_39,-1.0023,0.0885,-1.0023,0.0885
lig_32~lig_34,-2.0824,0.0577,-2.0824,0.0577
lig_32~lig_37,-1.4644,0.083,-1.4644,0.083
lig_32~lig_39,-1.1771,0.0443,-1.1771,0.0443
lig_33~lig_34,-0.447,0.0559,-0.447,0.0559
lig_33~lig_37,-0.5142,0.0504,-0.5142,0.0504
lig_37~lig_50,0.1384,0.2435,0.1384,0.2435
lig_37~lig_56,-0.2926,0.0947,-0.2926,0.0947
lig_37~lig_65,-1.4206,0.1036,-1.4206,0.1036
lig_67~lig_37,2.094,0.1042,2.094,0.1042
lig_50~lig_61,-1.0787,0.1784,-1.0787,0.1784
lig_53~lig_58,-1.0094,0.0603,-1.0094,0.0603
lig_53~lig_63,-0.688,0.0669,-0.688,0.0669
lig_56~lig_58,-2.0654,0.023,-2.0654,0.023
lig_60~lig_61,1.0334,0.0939,1.0334,0.0939
lig_60~lig_63,-1.2946,0.0335,-1.2946,0.0335
lig_60~lig_65,-1.1798,0.0553,-1.1798,0.0553
lig_60~lig_67,-0.8251,0.1772,-0.8251,0.1772
