,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_61~lig_67,-4.1403,0.5074,-4.1403,0.5074
lig_39~lig_67,-3.4025,0.8134,-3.4025,0.8134
lig_27~lig_60,-1.5932,1.1296,-1.5932,1.1296
lig_33~lig_53,-2.5684,0.5122,-2.5684,0.5122
lig_27~lig_32,-0.3209,0.5282,-0.3209,0.5282
lig_27~lig_58,-5.4693,0.4591,-5.4693,0.4591
lig_27~lig_33,-1.3994,0.1974,-1.3994,0.1974
lig_27~lig_34,0.385,0.8125,0.385,0.8125
lig_27~lig_37,-2.3015,0.5626,-2.3015,0.5626
lig_61~lig_63,-4.3983,0.9897,-4.3983,0.9897
lig_27~lig_39,-2.3133,0.4479,-2.3133,0.4479
lig_61~lig_65,-4.2222,1.6201,-4.2222,1.6201
lig_37~lig_56,-1.1572,0.6464,-1.1572,0.6464
lig_50~lig_56,0.2993,1.2622,0.2993,1.2622
lig_60~lig_61,-0.2082,0.2845,-0.2082,0.2845
lig_37~lig_63,-4.0276,1.123,-4.0276,1.123
lig_53~lig_67,-1.1472,0.1811,-1.1472,0.1811
lig_27~lig_65,-0.8767,1.2658,-0.8767,1.2658
lig_50~lig_53,-2.3732,1.666,-2.3732,1.666
lig_50~lig_58,-2.038,0.7822,-2.038,0.7822
