,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_33~lig_50,-0.9366,0.1807,-1.007,0.0364
lig_61~lig_67,-1.0313,0.1367,-0.8283,0.0385
lig_56~lig_58,-2.1527,0.1269,-2.0654,0.023
lig_33~lig_39,-0.9461,0.2788,0.0316,0.1703
lig_27~lig_32,-0.3328,0.0615,-0.5612,0.1239
lig_60~lig_63,-1.7355,0.0799,-1.2946,0.0335
lig_34~lig_37,-1.0751,0.1471,-0.7505,0.0447
lig_32~lig_37,-2.5553,0.0904,-1.4644,0.083
lig_50~lig_58,-2.8165,0.1317,-2.6927,0.4907
lig_61~lig_65,-3.0198,0.1169,-2.2233,0.0526
lig_27~lig_33,-1.0982,0.0627,-1.108,0.0557
lig_37~lig_56,-0.5551,0.0798,-0.2926,0.0947
lig_60~lig_65,-1.7399,0.0348,-1.1798,0.0553
lig_32~lig_39,-2.5099,0.1296,-1.1771,0.0443
lig_50~lig_53,-2.2768,0.211,-1.8447,0.1174
lig_37~lig_53,-2.4554,0.0623,-2.2009,0.0178
lig_34~lig_39,0.0715,0.0709,-0.0293,0.1359
lig_56~lig_60,-0.8583,0.0344,-1.1297,0.0446
