,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_34~lig_53,-4.6607,0.6554,-3.5365,0.2001
lig_37~lig_65,-3.3734,0.7618,-3.379,0.0908
lig_33~lig_50,-0.4999,0.247,-0.9366,0.1807
lig_32~lig_37,-0.4569,0.5457,-2.5553,0.0904
lig_60~lig_61,-0.2082,0.2845,1.231,0.1374
lig_32~lig_33,-2.8796,0.3546,-0.844,0.0778
lig_53~lig_58,-2.0649,0.4809,-0.6909,0.0485
lig_65~lig_67,-1.0034,0.509,1.9573,0.1528
lig_27~lig_39,-2.3133,0.4479,-2.8241,0.325
lig_27~lig_34,0.385,0.8125,-2.7607,0.3327
lig_50~lig_61,-1.4521,1.6127,-1.0087,0.042
lig_60~lig_67,-3.5444,0.0818,0.1244,0.1979
lig_27~lig_33,-1.3994,0.1974,-1.0982,0.0627
lig_37~lig_56,-1.1572,0.6464,-0.5551,0.0798
lig_60~lig_63,-2.2148,0.2696,-1.7355,0.0799
lig_56~lig_58,-2.3484,0.2067,-2.1527,0.1269
lig_53~lig_63,-1.8219,0.2089,-0.8809,0.0499
