,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_33~lig_50,-0.4999,0.247,-1.007,0.0364
lig_61~lig_67,-4.1403,0.5074,-0.8283,0.0385
lig_56~lig_58,-2.3484,0.2067,-2.0654,0.023
lig_33~lig_39,-0.4672,1.0854,0.0316,0.1703
lig_27~lig_32,-0.3209,0.5282,-0.5612,0.1239
lig_60~lig_63,-2.2148,0.2696,-1.2946,0.0335
lig_34~lig_37,-1.5598,0.6558,-0.7505,0.0447
lig_32~lig_37,-0.4569,0.5457,-1.4644,0.083
lig_50~lig_58,-2.038,0.7822,-2.6927,0.4907
lig_61~lig_65,-4.2222,1.6201,-2.2233,0.0526
lig_27~lig_33,-1.3994,0.1974,-1.108,0.0557
lig_37~lig_56,-1.1572,0.6464,-0.2926,0.0947
lig_60~lig_65,-1.9226,0.0622,-1.1798,0.0553
lig_32~lig_39,0.2616,0.8529,-1.1771,0.0443
lig_50~lig_53,-2.3732,1.666,-1.8447,0.1174
lig_37~lig_53,-2.7161,0.2174,-2.2009,0.0178
lig_34~lig_39,-0.1622,0.2747,-0.0293,0.1359
lig_56~lig_60,-0.1064,1.1674,-1.1297,0.0446
