,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_27~lig_39,-1.0023,0.0885,-1.0023,0.0885
lig_33~lig_34,-0.447,0.0559,-0.447,0.0559
lig_32~lig_34,-2.0824,0.0577,-2.0824,0.0577
lig_33~lig_67,-2.07,0.494,-2.07,0.494
lig_33~lig_37,-0.5142,0.0504,-0.5142,0.0504
lig_67~lig_65,-0.8569,0.1267,-0.8569,0.1267
lig_27~lig_32,-0.5612,0.1239,-0.5612,0.1239
lig_27~lig_33,-1.108,0.0557,-1.108,0.0557
lig_37~lig_50,0.1384,0.2435,0.1384,0.2435
lig_37~lig_56,-0.2926,0.0947,-0.2926,0.0947
lig_53~lig_58,-1.0094,0.0603,-1.0094,0.0603
lig_56~lig_58,-2.0654,0.023,-2.0654,0.023
lig_60~lig_61,1.0334,0.0939,1.0334,0.0939
lig_60~lig_63,-1.2946,0.0335,-1.2946,0.0335
lig_60~lig_65,-1.1798,0.0553,-1.1798,0.0553
lig_50~lig_61,-1.0787,0.1784,-1.0787,0.1784
lig_53~lig_63,-0.688,0.0669,-0.688,0.0669
lig_32~lig_37,-1.4644,0.083,-1.4644,0.083
lig_32~lig_39,-1.1771,0.0443,-1.1771,0.0443
lig_37~lig_65,-1.4206,0.1036,-1.4206,0.1036
lig_67~lig_37,2.094,0.1042,2.094,0.1042
lig_60~lig_67,-0.8251,0.1772,-0.8251,0.1772
lig_53~lig_67,0.6872,0.1289,0.6872,0.1289
lig_67~lig_39,2.9814,0.2226,2.9814,0.2226
lig_34~lig_37,-0.7505,0.0447,-0.7505,0.0447
lig_53~lig_56,1.5437,0.0416,1.5437,0.0416
lig_50~lig_58,-2.6927,0.4907,-2.6927,0.4907
lig_33~lig_53,-2.3445,0.0494,-2.3445,0.0494
lig_37~lig_53,-2.2009,0.0178,-2.2009,0.0178
lig_50~lig_53,-1.8447,0.1174,-1.8447,0.1174
lig_63~lig_61,2.7813,0.0478,2.7813,0.0478
lig_63~lig_65,0.5386,0.037,0.5386,0.037
lig_33~lig_39,0.0316,0.1703,0.0316,0.1703
lig_27~lig_65,-3.5453,0.1034,-3.5453,0.1034
lig_27~lig_61,-1.808,0.0671,-1.808,0.0671
lig_27~lig_60,-1.849,0.0824,-1.849,0.0824
lig_27~lig_34,-1.7697,0.047,-1.7697,0.047
lig_27~lig_67,-2.3302,0.0661,-2.3302,0.0661
lig_27~lig_50,-1.7945,0.0526,-1.7945,0.0526
lig_27~lig_63,-4.0618,0.0924,-4.0618,0.0924
lig_27~lig_56,-2.1945,0.0636,-2.1945,0.0636
lig_37~lig_61,-0.1833,0.0744,-0.1833,0.0744
lig_34~lig_53,-4.1403,0.0515,-4.1403,0.0515
lig_33~lig_50,-1.007,0.0364,-1.007,0.0364
lig_32~lig_33,-0.6496,0.0559,-0.6496,0.0559
lig_61~lig_67,-0.8283,0.0385,-0.8283,0.0385
lig_27~lig_58,-4.8626,0.1718,-4.8626,0.1718
lig_27~lig_37,-1.0568,0.1343,-1.0568,0.1343
lig_61~lig_65,-2.2233,0.0526,-2.2233,0.0526
lig_50~lig_56,-0.7485,0.0701,-0.7485,0.0701
lig_37~lig_63,-3.6881,0.071,-3.6881,0.071
lig_34~lig_39,-0.0293,0.1359,-0.0293,0.1359
lig_56~lig_60,-1.1297,0.0446,-1.1297,0.0446
