,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_53~lig_67,-1.1472,0.1811,0.6872,0.1289
lig_60~lig_67,-3.5444,0.0818,-0.8251,0.1772
lig_33~lig_34,2.1492,0.7977,-0.447,0.0559
lig_34~lig_37,-1.5598,0.6558,-0.7505,0.0447
lig_53~lig_56,1.6049,0.6064,1.5437,0.0416
lig_50~lig_58,-2.038,0.7822,-2.6927,0.4907
lig_60~lig_65,-1.9226,0.0622,-1.1798,0.0553
lig_33~lig_53,-2.5684,0.5122,-2.3445,0.0494
lig_37~lig_53,-2.7161,0.2174,-2.2009,0.0178
lig_56~lig_58,-2.3484,0.2067,-2.0654,0.023
lig_60~lig_61,-0.2082,0.2845,1.0334,0.0939
lig_27~lig_39,-2.3133,0.4479,-1.0023,0.0885
lig_50~lig_53,-2.3732,1.666,-1.8447,0.1174
lig_63~lig_65,1.6555,1.3756,0.5386,0.037
lig_33~lig_39,-0.4672,1.0854,0.0316,0.1703
lig_32~lig_37,-0.4569,0.5457,-1.4644,0.083
lig_27~lig_32,-0.3209,0.5282,-0.5612,0.1239
