,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_53~lig_67,-1.1472,0.1811,-1.1472,0.1811
lig_65~lig_67,-1.0034,0.509,-1.0034,0.509
lig_39~lig_67,-3.4025,0.8134,-3.4025,0.8134
lig_60~lig_67,-3.5444,0.0818,-3.5444,0.0818
lig_33~lig_34,2.1492,0.7977,2.1492,0.7977
lig_34~lig_37,-1.5598,0.6558,-1.5598,0.6558
lig_53~lig_56,1.6049,0.6064,1.6049,0.6064
lig_50~lig_58,-2.038,0.7822,-2.038,0.7822
lig_60~lig_65,-1.9226,0.0622,-1.9226,0.0622
lig_33~lig_53,-2.5684,0.5122,-2.5684,0.5122
lig_37~lig_53,-2.7161,0.2174,-2.7161,0.2174
lig_56~lig_58,-2.3484,0.2067,-2.3484,0.2067
lig_60~lig_61,-0.2082,0.2845,-0.2082,0.2845
lig_27~lig_39,-2.3133,0.4479,-2.3133,0.4479
lig_50~lig_53,-2.3732,1.666,-2.3732,1.666
lig_61~lig_63,-4.3983,0.9897,-4.3983,0.9897
lig_63~lig_65,1.6555,1.3756,1.6555,1.3756
lig_33~lig_39,-0.4672,1.0854,-0.4672,1.0854
lig_32~lig_37,-0.4569,0.5457,-0.4569,0.5457
lig_27~lig_32,-0.3209,0.5282,-0.3209,0.5282
