,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_37~lig_65,-3.379,0.0908,-3.3734,0.7618
lig_27~lig_65,-5.6991,0.1274,-0.8767,1.2658
lig_27~lig_61,-2.1307,0.1865,0.6064,0.8874
lig_53~lig_58,-0.6909,0.0485,-2.0649,0.4809
lig_27~lig_60,-3.8147,0.3105,-1.5932,1.1296
lig_27~lig_39,-2.8241,0.325,-2.3133,0.4479
lig_27~lig_34,-2.7607,0.3327,0.385,0.8125
lig_27~lig_33,-1.0982,0.0627,-1.3994,0.1974
lig_27~lig_67,-2.8154,0.1782,-4.1547,0.5476
lig_27~lig_50,-1.9839,0.2625,-2.3426,0.5145
lig_27~lig_63,-6.5488,0.1657,-3.1685,0.8878
lig_27~lig_32,-0.3328,0.0615,-0.3209,0.5282
lig_53~lig_63,-0.8809,0.0499,-1.8219,0.2089
lig_37~lig_53,-2.4554,0.0623,-2.7161,0.2174
lig_27~lig_56,-2.325,0.2642,-2.4341,0.6843
lig_37~lig_61,-0.3456,0.1482,3.2534,0.9475
lig_56~lig_58,-2.1527,0.1269,-2.3484,0.2067
