,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_33~lig_50,-1.007,0.0364,-0.4999,0.247
lig_61~lig_67,-0.8283,0.0385,-4.1403,0.5074
lig_56~lig_58,-2.0654,0.023,-2.3484,0.2067
lig_33~lig_39,0.0316,0.1703,-0.4672,1.0854
lig_27~lig_32,-0.5612,0.1239,-0.3209,0.5282
lig_60~lig_63,-1.2946,0.0335,-2.2148,0.2696
lig_34~lig_37,-0.7505,0.0447,-1.5598,0.6558
lig_32~lig_37,-1.4644,0.083,-0.4569,0.5457
lig_50~lig_58,-2.6927,0.4907,-2.038,0.7822
lig_61~lig_65,-2.2233,0.0526,-4.2222,1.6201
lig_27~lig_33,-1.108,0.0557,-1.3994,0.1974
lig_37~lig_56,-0.2926,0.0947,-1.1572,0.6464
lig_60~lig_65,-1.1798,0.0553,-1.9226,0.0622
lig_32~lig_39,-1.1771,0.0443,0.2616,0.8529
lig_50~lig_53,-1.8447,0.1174,-2.3732,1.666
lig_37~lig_53,-2.2009,0.0178,-2.7161,0.2174
lig_34~lig_39,-0.0293,0.1359,-0.1622,0.2747
lig_56~lig_60,-1.1297,0.0446,-0.1064,1.1674
