,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_61~lig_67,-0.8283,0.0385,-0.8283,0.0385
lig_67~lig_39,2.9814,0.2226,2.9814,0.2226
lig_27~lig_60,-1.849,0.0824,-1.849,0.0824
lig_33~lig_53,-2.3445,0.0494,-2.3445,0.0494
lig_27~lig_32,-0.5612,0.1239,-0.5612,0.1239
lig_27~lig_58,-4.8626,0.1718,-4.8626,0.1718
lig_27~lig_33,-1.108,0.0557,-1.108,0.0557
lig_27~lig_34,-1.7697,0.047,-1.7697,0.047
lig_27~lig_37,-1.0568,0.1343,-1.0568,0.1343
lig_63~lig_61,2.7813,0.0478,2.7813,0.0478
lig_27~lig_39,-1.0023,0.0885,-1.0023,0.0885
lig_61~lig_65,-2.2233,0.0526,-2.2233,0.0526
lig_37~lig_56,-0.2926,0.0947,-0.2926,0.0947
lig_50~lig_56,-0.7485,0.0701,-0.7485,0.0701
lig_60~lig_61,1.0334,0.0939,1.0334,0.0939
lig_37~lig_63,-3.6881,0.071,-3.6881,0.071
lig_53~lig_67,0.6872,0.1289,0.6872,0.1289
lig_27~lig_65,-3.5453,0.1034,-3.5453,0.1034
lig_50~lig_53,-1.8447,0.1174,-1.8447,0.1174
lig_50~lig_58,-2.6927,0.4907,-2.6927,0.4907
