,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_61~lig_67,-0.8283,0.0385,-4.1403,0.5074
lig_27~lig_60,-1.849,0.0824,-1.5932,1.1296
lig_33~lig_53,-2.3445,0.0494,-2.5684,0.5122
lig_27~lig_32,-0.5612,0.1239,-0.3209,0.5282
lig_27~lig_58,-4.8626,0.1718,-5.4693,0.4591
lig_27~lig_33,-1.108,0.0557,-1.3994,0.1974
lig_27~lig_34,-1.7697,0.047,0.385,0.8125
lig_27~lig_37,-1.0568,0.1343,-2.3015,0.5626
lig_27~lig_39,-1.0023,0.0885,-2.3133,0.4479
lig_61~lig_65,-2.2233,0.0526,-4.2222,1.6201
lig_37~lig_56,-0.2926,0.0947,-1.1572,0.6464
lig_50~lig_56,-0.7485,0.0701,0.2993,1.2622
lig_60~lig_61,1.0334,0.0939,-0.2082,0.2845
lig_37~lig_63,-3.6881,0.071,-4.0276,1.123
lig_53~lig_67,0.6872,0.1289,-1.1472,0.1811
lig_27~lig_65,-3.5453,0.1034,-0.8767,1.2658
lig_50~lig_53,-1.8447,0.1174,-2.3732,1.666
lig_50~lig_58,-2.6927,0.4907,-2.038,0.7822
