,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_27~lig_39,-2.3133,0.4479,-2.8241,0.325
lig_33~lig_34,2.1492,0.7977,-0.7107,0.2618
lig_32~lig_34,-0.6107,0.4073,-1.0035,0.0973
lig_33~lig_67,-1.9716,0.772,-1.7651,0.2593
lig_33~lig_37,-0.8913,0.8067,-1.3446,0.1422
lig_65~lig_67,-1.0034,0.509,1.9573,0.1528
lig_27~lig_32,-0.3209,0.5282,-0.3328,0.0615
lig_27~lig_33,-1.3994,0.1974,-1.0982,0.0627
lig_37~lig_50,-1.0074,0.1784,0.6453,0.2093
lig_37~lig_56,-1.1572,0.6464,-0.5551,0.0798
lig_53~lig_58,-2.0649,0.4809,-0.6909,0.0485
lig_56~lig_58,-2.3484,0.2067,-2.1527,0.1269
lig_60~lig_61,-0.2082,0.2845,1.231,0.1374
lig_60~lig_63,-2.2148,0.2696,-1.7355,0.0799
lig_60~lig_65,-1.9226,0.0622,-1.7399,0.0348
lig_50~lig_61,-1.4521,1.6127,-1.0087,0.042
lig_53~lig_63,-1.8219,0.2089,-0.8809,0.0499
lig_32~lig_37,-0.4569,0.5457,-2.5553,0.0904
lig_32~lig_39,0.2616,0.8529,-2.5099,0.1296
lig_37~lig_65,-3.3734,0.7618,-3.379,0.0908
lig_37~lig_67,-2.2664,0.4304,-1.7782,0.1833
lig_60~lig_67,-3.5444,0.0818,0.1244,0.1979
lig_53~lig_67,-1.1472,0.1811,1.2761,0.1495
lig_39~lig_67,-3.4025,0.8134,-1.8689,0.7006
lig_34~lig_37,-1.5598,0.6558,-1.0751,0.1471
lig_53~lig_56,1.6049,0.6064,1.5382,0.123
lig_50~lig_58,-2.038,0.7822,-2.8165,0.1317
lig_33~lig_53,-2.5684,0.5122,-4.2612,0.2297
lig_37~lig_53,-2.7161,0.2174,-2.4554,0.0623
lig_50~lig_53,-2.3732,1.666,-2.2768,0.211
lig_61~lig_63,-4.3983,0.9897,-2.7346,0.2703
lig_63~lig_65,1.6555,1.3756,0.5134,0.1028
lig_33~lig_39,-0.4672,1.0854,-0.9461,0.2788
lig_27~lig_65,-0.8767,1.2658,-5.6991,0.1274
lig_27~lig_61,0.6064,0.8874,-2.1307,0.1865
lig_27~lig_60,-1.5932,1.1296,-3.8147,0.3105
lig_27~lig_34,0.385,0.8125,-2.7607,0.3327
lig_27~lig_67,-4.1547,0.5476,-2.8154,0.1782
lig_27~lig_50,-2.3426,0.5145,-1.9839,0.2625
lig_27~lig_63,-3.1685,0.8878,-6.5488,0.1657
lig_27~lig_56,-2.4341,0.6843,-2.325,0.2642
lig_37~lig_61,3.2534,0.9475,-0.3456,0.1482
lig_34~lig_53,-4.6607,0.6554,-3.5365,0.2001
lig_33~lig_50,-0.4999,0.247,-0.9366,0.1807
lig_32~lig_33,-2.8796,0.3546,-0.844,0.0778
lig_61~lig_67,-4.1403,0.5074,-1.0313,0.1367
lig_27~lig_58,-5.4693,0.4591,-5.0867,0.1238
lig_27~lig_37,-2.3015,0.5626,-3.0697,0.2116
lig_61~lig_65,-4.2222,1.6201,-3.0198,0.1169
lig_50~lig_56,0.2993,1.2622,-0.616,0.2962
lig_37~lig_63,-4.0276,1.123,-3.2057,0.1725
lig_34~lig_39,-0.1622,0.2747,0.0715,0.0709
lig_56~lig_60,-0.1064,1.1674,-0.8583,0.0344
