,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_61~lig_67,-1.0313,0.1367,-4.1403,0.5074
lig_39~lig_67,-1.8689,0.7006,-3.4025,0.8134
lig_27~lig_60,-3.8147,0.3105,-1.5932,1.1296
lig_33~lig_53,-4.2612,0.2297,-2.5684,0.5122
lig_27~lig_32,-0.3328,0.0615,-0.3209,0.5282
lig_27~lig_58,-5.0867,0.1238,-5.4693,0.4591
lig_27~lig_33,-1.0982,0.0627,-1.3994,0.1974
lig_27~lig_34,-2.7607,0.3327,0.385,0.8125
lig_27~lig_37,-3.0697,0.2116,-2.3015,0.5626
lig_61~lig_63,-2.7346,0.2703,-4.3983,0.9897
lig_27~lig_39,-2.8241,0.325,-2.3133,0.4479
lig_61~lig_65,-3.0198,0.1169,-4.2222,1.6201
lig_37~lig_56,-0.5551,0.0798,-1.1572,0.6464
lig_50~lig_56,-0.616,0.2962,0.2993,1.2622
lig_60~lig_61,1.231,0.1374,-0.2082,0.2845
lig_37~lig_63,-3.2057,0.1725,-4.0276,1.123
lig_53~lig_67,1.2761,0.1495,-1.1472,0.1811
lig_27~lig_65,-5.6991,0.1274,-0.8767,1.2658
lig_50~lig_53,-2.2768,0.211,-2.3732,1.666
lig_50~lig_58,-2.8165,0.1317,-2.038,0.7822
