,freenrg_experimental,err_experimental,freenrg_calc,err_calc
lig_53~lig_67,2.384069446513572,0.19611671832598107,-1.1472,0.1811
lig_65~lig_67,0.8264550174289331,0.19180381855063072,-1.0034,0.509
lig_39~lig_67,-0.5541533446511124,0.0583948739140939,-3.4025,0.8134
lig_60~lig_67,1.3342367035643194,0.027239244925782086,-3.5444,0.0818
lig_33~lig_34,0.006052450742468629,0.2612566286899177,2.1492,0.7977
lig_34~lig_37,-2.0844824149163994,0.35494339781098216,-1.5598,0.6558
lig_53~lig_56,0.7068229192490953,0.19789847960991214,1.6049,0.6064
lig_50~lig_58,-0.07960624562424101,0.15500427187590904,-2.038,0.7822
lig_60~lig_65,0.5077816861353863,0.19167912020261121,-1.9226,0.0622
lig_33~lig_53,-3.0897873399086047,0.263038298992861,-2.5684,0.5122
lig_37~lig_53,-1.0113573757346739,0.35625684042870154,-2.7161,0.2174
lig_56~lig_58,-0.14982393063854893,0.05394670143602067,-2.3484,0.2067
lig_60~lig_61,0.835698013082073,0.23919113990605265,-0.2082,0.2845
lig_27~lig_39,-0.9104573923536252,0.1328174542336723,-2.3133,0.4479
lig_50~lig_53,-0.6366052342347874,0.24551962433962052,-2.3732,1.666
lig_61~lig_63,-0.9828664325255403,0.25683413851255643,-4.3983,0.9897
lig_63~lig_65,0.6549501055788536,0.21328914275597163,1.6555,1.3756
lig_33~lig_39,-0.1515645487439201,0.18476293142713576,-0.4672,1.0854
lig_32~lig_37,-2.370672000057911,0.3196775882676304,-0.4569,0.5457
lig_27~lig_32,-0.466650807725725,0.1672336872313416,-0.3209,0.5282
