,freenrg_AMBER,err_AMBER,freenrg_calc,err_calc
lig_27~lig_39,-1.0023,0.0885,-2.8241,0.325
lig_33~lig_34,-0.447,0.0559,-0.7107,0.2618
lig_32~lig_34,-2.0824,0.0577,-1.0035,0.0973
lig_33~lig_67,-2.07,0.494,-1.7651,0.2593
lig_33~lig_37,-0.5142,0.0504,-1.3446,0.1422
lig_27~lig_32,-0.5612,0.1239,-0.3328,0.0615
lig_27~lig_33,-1.108,0.0557,-1.0982,0.0627
lig_37~lig_50,0.1384,0.2435,0.6453,0.2093
lig_37~lig_56,-0.2926,0.0947,-0.5551,0.0798
lig_53~lig_58,-1.0094,0.0603,-0.6909,0.0485
lig_56~lig_58,-2.0654,0.023,-2.1527,0.1269
lig_60~lig_61,1.0334,0.0939,1.231,0.1374
lig_60~lig_63,-1.2946,0.0335,-1.7355,0.0799
lig_60~lig_65,-1.1798,0.0553,-1.7399,0.0348
lig_50~lig_61,-1.0787,0.1784,-1.0087,0.042
lig_53~lig_63,-0.688,0.0669,-0.8809,0.0499
lig_32~lig_37,-1.4644,0.083,-2.5553,0.0904
lig_32~lig_39,-1.1771,0.0443,-2.5099,0.1296
lig_37~lig_65,-1.4206,0.1036,-3.379,0.0908
lig_60~lig_67,-0.8251,0.1772,0.1244,0.1979
lig_53~lig_67,0.6872,0.1289,1.2761,0.1495
lig_34~lig_37,-0.7505,0.0447,-1.0751,0.1471
lig_53~lig_56,1.5437,0.0416,1.5382,0.123
lig_50~lig_58,-2.6927,0.4907,-2.8165,0.1317
lig_33~lig_53,-2.3445,0.0494,-4.2612,0.2297
lig_37~lig_53,-2.2009,0.0178,-2.4554,0.0623
lig_50~lig_53,-1.8447,0.1174,-2.2768,0.211
lig_63~lig_65,0.5386,0.037,0.5134,0.1028
lig_33~lig_39,0.0316,0.1703,-0.9461,0.2788
lig_27~lig_65,-3.5453,0.1034,-5.6991,0.1274
lig_27~lig_61,-1.808,0.0671,-2.1307,0.1865
lig_27~lig_60,-1.849,0.0824,-3.8147,0.3105
lig_27~lig_34,-1.7697,0.047,-2.7607,0.3327
lig_27~lig_67,-2.3302,0.0661,-2.8154,0.1782
lig_27~lig_50,-1.7945,0.0526,-1.9839,0.2625
lig_27~lig_63,-4.0618,0.0924,-6.5488,0.1657
lig_27~lig_56,-2.1945,0.0636,-2.325,0.2642
lig_37~lig_61,-0.1833,0.0744,-0.3456,0.1482
lig_34~lig_53,-4.1403,0.0515,-3.5365,0.2001
lig_33~lig_50,-1.007,0.0364,-0.9366,0.1807
lig_32~lig_33,-0.6496,0.0559,-0.844,0.0778
lig_61~lig_67,-0.8283,0.0385,-1.0313,0.1367
lig_27~lig_58,-4.8626,0.1718,-5.0867,0.1238
lig_27~lig_37,-1.0568,0.1343,-3.0697,0.2116
lig_61~lig_65,-2.2233,0.0526,-3.0198,0.1169
lig_50~lig_56,-0.7485,0.0701,-0.616,0.2962
lig_37~lig_63,-3.6881,0.071,-3.2057,0.1725
lig_34~lig_39,-0.0293,0.1359,0.0715,0.0709
lig_56~lig_60,-1.1297,0.0446,-0.8583,0.0344
