,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_34~lig_53,-3.5365,0.2001,-4.1403,0.0515
lig_37~lig_65,-3.379,0.0908,-1.4206,0.1036
lig_33~lig_50,-0.9366,0.1807,-1.007,0.0364
lig_32~lig_37,-2.5553,0.0904,-1.4644,0.083
lig_60~lig_61,1.231,0.1374,1.0334,0.0939
lig_32~lig_33,-0.844,0.0778,-0.6496,0.0559
lig_53~lig_58,-0.6909,0.0485,-1.0094,0.0603
lig_27~lig_39,-2.8241,0.325,-1.0023,0.0885
lig_27~lig_34,-2.7607,0.3327,-1.7697,0.047
lig_50~lig_61,-1.0087,0.042,-1.0787,0.1784
lig_60~lig_67,0.1244,0.1979,-0.8251,0.1772
lig_27~lig_33,-1.0982,0.0627,-1.108,0.0557
lig_37~lig_56,-0.5551,0.0798,-0.2926,0.0947
lig_60~lig_63,-1.7355,0.0799,-1.2946,0.0335
lig_56~lig_58,-2.1527,0.1269,-2.0654,0.023
lig_53~lig_63,-0.8809,0.0499,-0.688,0.0669
