,freenrg_GROMACS,err_GROMACS,freenrg_calc,err_calc
lig_53~lig_67,-1.1472,0.1811,1.2761,0.1495
lig_65~lig_67,-1.0034,0.509,1.9573,0.1528
lig_39~lig_67,-3.4025,0.8134,-1.8689,0.7006
lig_60~lig_67,-3.5444,0.0818,0.1244,0.1979
lig_33~lig_34,2.1492,0.7977,-0.7107,0.2618
lig_34~lig_37,-1.5598,0.6558,-1.0751,0.1471
lig_53~lig_56,1.6049,0.6064,1.5382,0.123
lig_50~lig_58,-2.038,0.7822,-2.8165,0.1317
lig_60~lig_65,-1.9226,0.0622,-1.7399,0.0348
lig_33~lig_53,-2.5684,0.5122,-4.2612,0.2297
lig_37~lig_53,-2.7161,0.2174,-2.4554,0.0623
lig_56~lig_58,-2.3484,0.2067,-2.1527,0.1269
lig_60~lig_61,-0.2082,0.2845,1.231,0.1374
lig_27~lig_39,-2.3133,0.4479,-2.8241,0.325
lig_50~lig_53,-2.3732,1.666,-2.2768,0.211
lig_61~lig_63,-4.3983,0.9897,-2.7346,0.2703
lig_63~lig_65,1.6555,1.3756,0.5134,0.1028
lig_33~lig_39,-0.4672,1.0854,-0.9461,0.2788
lig_32~lig_37,-0.4569,0.5457,-2.5553,0.0904
lig_27~lig_32,-0.3209,0.5282,-0.3328,0.0615
