,freenrg_experimental,err_experimental,freenrg_calc,err_calc
lig_27~lig_39,-0.9104573923536252,0.1328174542336723,-1.0023,0.0885
lig_33~lig_34,0.006052450742468629,0.2612566286899177,-0.447,0.0559
lig_32~lig_34,-0.2861895851415115,0.22466517675543873,-2.0824,0.0577
lig_33~lig_67,-0.7057178933950325,0.17753077390466276,-2.07,0.494
lig_33~lig_37,-2.0784299641739308,0.3463731294839102,-0.5142,0.0504
lig_27~lig_32,-0.466650807725725,0.1672336872313416,-0.5612,0.1239
lig_27~lig_33,-0.7588928436097051,0.21388709763064065,-1.108,0.0557
lig_37~lig_50,-0.37475214149988645,0.33326428555620574,0.1384,0.2435
lig_37~lig_56,-0.30453445648557853,0.2999149984967986,-0.2926,0.0947
lig_53~lig_58,0.5569989886105464,0.19970021688704748,-1.0094,0.0603
lig_56~lig_58,-0.14982393063854893,0.05394670143602067,-2.0654,0.023
lig_60~lig_61,0.835698013082073,0.23919113990605265,1.0334,0.0939
lig_60~lig_63,-0.14716841944346726,0.09718811692331902,-1.2946,0.0335
lig_60~lig_65,0.5077816861353863,0.19167912020261121,-1.1798,0.0553
lig_50~lig_61,1.2489255217965383,0.2812087122182192,-1.0787,0.1784
lig_53~lig_63,0.9026643235057854,0.2171757832124157,-0.688,0.0669
lig_32~lig_37,-2.370672000057911,0.3196775882676304,-1.4644,0.083
lig_32~lig_39,-0.44380658462790024,0.12789353557424024,-1.1771,0.0443
lig_37~lig_65,0.5462570533499651,0.35390093805455275,-1.4206,0.1036
lig_60~lig_67,1.3342367035643194,0.027239244925782086,-0.8251,0.1772
lig_53~lig_67,2.384069446513572,0.19611671832598107,0.6872,0.1289
lig_34~lig_37,-2.0844824149163994,0.35494339781098216,-0.7505,0.0447
lig_53~lig_56,0.7068229192490953,0.19789847960991214,1.5437,0.0416
lig_50~lig_58,-0.07960624562424101,0.15500427187590904,-2.6927,0.4907
lig_33~lig_53,-3.0897873399086047,0.263038298992861,-2.3445,0.0494
lig_37~lig_53,-1.0113573757346739,0.35625684042870154,-2.2009,0.0178
lig_50~lig_53,-0.6366052342347874,0.24551962433962052,-1.8447,0.1174
lig_63~lig_65,0.6549501055788536,0.21328914275597163,0.5386,0.037
lig_33~lig_39,-0.1515645487439201,0.18476293142713576,0.0316,0.1703
lig_27~lig_65,-2.2910657544336708,0.2258743448474704,-3.5453,0.1034
lig_27~lig_61,-1.963149427486984,0.26737751578654434,-1.808,0.0671
lig_27~lig_60,-2.798847440569057,0.12236213186193454,-1.849,0.0824
lig_27~lig_34,-0.7528403928672365,0.22750420073920988,-1.7697,0.047
lig_27~lig_67,-1.4646107370047377,0.1225573784100886,-2.3302,0.0661
lig_27~lig_50,-3.2120749492835223,0.19193339920834473,-1.7945,0.0526
lig_27~lig_63,-2.9460158600125244,0.1540255323306095,-4.0618,0.0924
lig_27~lig_56,-3.1418572642692144,0.12538880343841016,-2.1945,0.0636
lig_37~lig_61,0.8741733802966518,0.38172947258995105,-0.1833,0.0744
lig_34~lig_53,-3.0958397906510733,0.27422548670425445,-4.1403,0.0515
lig_33~lig_50,-2.4531821056738172,0.23094435349690773,-1.007,0.0364
lig_32~lig_33,-0.2922420358839801,0.21086481647118144,-0.6496,0.0559
lig_61~lig_67,0.4985386904822464,0.23929108027361373,-0.8283,0.0385
lig_27~lig_58,-3.2916811949077633,0.12821357346449422,-4.8626,0.1718
lig_27~lig_37,-2.837322807783636,0.3216791571551424,-1.0568,0.1343
lig_61~lig_65,-0.3279163269466867,0.3053835780719608,-2.2233,0.0526
lig_50~lig_56,0.07021768501430792,0.15267598339936025,-0.7485,0.0701
lig_37~lig_63,-0.10869305222888848,0.31297047609214845,-3.6881,0.071
lig_34~lig_39,-0.15761699948638874,0.2003691883765465,-0.0293,0.1359
lig_56~lig_60,0.3430098237001573,0.03800023011890004,-1.1297,0.0446
lig_67~lig_65,-0.8264550174289331,0.19180381855063072,-0.8569,0.1267
lig_67~lig_37,-1.3727120707788982,0.29874230583961836,2.094,0.1042
lig_67~lig_39,0.5541533446511124,0.0583948739140939,2.9814,0.2226
lig_63~lig_61,0.9828664325255403,0.25683413851255643,2.7813,0.0478
