,freenrg_SOMD,err_SOMD,freenrg_calc,err_calc
lig_33~lig_50,-0.9366,0.1807,-0.4999,0.247
lig_61~lig_67,-1.0313,0.1367,-4.1403,0.5074
lig_39~lig_67,-1.8689,0.7006,-3.4025,0.8134
lig_56~lig_58,-2.1527,0.1269,-2.3484,0.2067
lig_33~lig_39,-0.9461,0.2788,-0.4672,1.0854
lig_27~lig_32,-0.3328,0.0615,-0.3209,0.5282
lig_60~lig_63,-1.7355,0.0799,-2.2148,0.2696
lig_34~lig_37,-1.0751,0.1471,-1.5598,0.6558
lig_32~lig_37,-2.5553,0.0904,-0.4569,0.5457
lig_61~lig_63,-2.7346,0.2703,-4.3983,0.9897
lig_50~lig_58,-2.8165,0.1317,-2.038,0.7822
lig_61~lig_65,-3.0198,0.1169,-4.2222,1.6201
lig_27~lig_33,-1.0982,0.0627,-1.3994,0.1974
lig_37~lig_56,-0.5551,0.0798,-1.1572,0.6464
lig_60~lig_65,-1.7399,0.0348,-1.9226,0.0622
lig_32~lig_39,-2.5099,0.1296,0.2616,0.8529
lig_50~lig_53,-2.2768,0.211,-2.3732,1.666
lig_37~lig_53,-2.4554,0.0623,-2.7161,0.2174
lig_34~lig_39,0.0715,0.0709,-0.1622,0.2747
lig_56~lig_60,-0.8583,0.0344,-0.1064,1.1674
